year,rain_50m_pct,rain_la_pct,totbal_50m_pct,totbal_la_pct
2000,4.1272593,1.0152634,8.7665201,-0.3785728
2001,4.6142696,3.132016,7.1483151,4.2959731
2002,1.6556676,4.1002559000000005,2.8873083,4.3792583
2003,0.7220145,0.0,2.6562116000000002,0.3566314
2004,1.8441961999999998,3.5397314,5.2466501,4.1891012
2005,2.4598193,6.478545199999999,9.016673,10.0201358
2006,4.5532732,8.8009199,11.8015968,19.4889213
2007,4.7389176,7.212737199999999,11.3277657,18.7074758
2008,4.8345024,8.051824,8.292192700000001,17.039013399999998
2009,2.7282626,9.0996301,4.5827935,9.9099228
2010,1.6383172000000001,7.415896,4.488299,6.173195
2011,1.7610590999999998,8.311488,6.3684039,8.1354408
2012,2.4861302,5.3787227,7.9075326,1.3749689
2013,3.5580711000000003,5.3039503,9.956752100000001,7.2293697
2014,4.5246132,5.1789002,7.2928364,7.2587323999999995
2015,4.9183113,5.4715888999999995,9.204277600000001,4.1083144
2016,5.3396705,4.1242716,9.7395795,0.5185946
2017,5.6136891,3.1348599,8.3156852,4.4751763
2018,6.5477341,3.3426564,11.7245839,6.5497795
2019,7.9296613,4.0520097,13.9937898,9.3960165
2020,8.4397036,5.6033425999999995,12.711728899999999,8.2700822
2021,10.288484500000001,5.2721788,27.1238984,12.0247119
2022,11.4841414,5.6655101,39.5078597,11.3726455
2023,12.2907098,6.8197731,34.8750473,9.0953648
2024,13.1808886,7.8953761,24.0709215,10.980646199999999
